question_text,question_type,difficulty,points,topic_id,language,hint,explanation,estimated_seconds,tags,options,correct_answers,test_cases,status
"What is the capital of France?",multiple_choice,very_easy,1,00000000-0000-4000-8000-000000000001,en,"Starts with P","Paris is the capital and largest city of France.",15,"geography,europe,capitals","Paris|true,London|false,Berlin|false,Madrid|false",,published
"Which of the following are programming languages?",multiple_select,easy,2,00000000-0000-4000-8000-000000000001,en,,,30,"programming,languages","JavaScript|true,Python|true,HTML|false,CSS|false",,published
"The Earth is flat.",true_false,very_easy,1,00000000-0000-4000-8000-000000000001,en,,"The Earth is approximately spherical (oblate spheroid).",10,"geography,earth","True|false,False|true",,published
"Explain the difference between authentication and authorization.",essay,medium,5,00000000-0000-4000-8000-000000000002,en,"Think about identity vs permissions","Authentication verifies WHO you are. Authorization determines WHAT you can do. AuthN proves identity (login/password/OAuth). AuthZ grants access (RBAC/ABAC).",300,"security,auth,fundamentals",,,published
"What is 2 + 2?",short_answer,very_easy,1,00000000-0000-4000-8000-000000000001,en,,"Basic arithmetic. Multiple correct forms accepted.",10,"math,arithmetic",,,"4,four,4.0",published
"Write a function to reverse a string",coding,medium,5,00000000-0000-4000-8000-000000000003,python,"Try using slicing","Implement reverse('hello') -> 'olleh'. Multiple approaches: slice [::-1], loop, recursion.",600,"python,strings,algorithms",,,"||hello||olleh||true||2,,||world||dlrow||true||2,,||a||a||false||1",published
"What is the time complexity of binary search?",multiple_choice,medium,2,00000000-0000-4000-8000-000000000001,en,"Think about divide and conquer","Binary search divides search space in half each step, giving O(log n).",60,"algorithms,complexity,search","O(1)|false,O(log n)|true,O(n)|false,O(n log n)|false",,published
"Which HTTP methods are idempotent?",multiple_select,medium,3,00000000-0000-4000-8000-000000000004,en,,"RFC 7231 specifies GET, HEAD, PUT, DELETE, OPTIONS, TRACE as idempotent.",120,"http,web,rest","GET|true,POST|false,PUT|true,DELETE|true",,published
"Photosynthesis requires sunlight.",true_false,easy,1,00000000-0000-4000-8000-000000000001,en,,"Plants use sunlight to convert CO2 and H2O into glucose and O2.",15,"biology,plants","True|true,False|false",,published
"Describe REST architectural style",essay,hard,8,00000000-0000-4000-8000-000000000004,en,"Mention Roy Fielding","REST = Representational State Transfer. Key constraints: client-server, stateless, cacheable, uniform interface, layered system, code-on-demand. Introduced by Roy Fielding in 2000 dissertation.",900,"rest,api,architecture",,,published
