question_text,question_type,difficulty,points,topic_id,language,hint,explanation,estimated_seconds,tags,options,correct_answers,test_cases,status
"What does SQL stand for?",multiple_choice,easy,1,00000000-0000-4000-8000-000000000005,en,"Think about relational databases","SQL = Structured Query Language. Used to manage relational databases.",15,"sql,database,fundamentals","Structured Query Language|true,Strong Query Language|false,Simple Query Language|false,Sequential Query Language|false",,published
"Which are ACID properties of database transactions?",multiple_select,medium,4,00000000-0000-4000-8000-000000000005,en,,"Atomicity, Consistency, Isolation, Durability are the 4 ACID properties.",180,"database,transactions,acid","Atomicity|true,Consistency|true,Isolation|true,Durability|true,Redundancy|false",,published
"Git is a distributed version control system.",true_false,very_easy,1,00000000-0000-4000-8000-000000000006,en,,"Git is a DVCS created by Linus Torvalds in 2005 for Linux kernel development.",10,"git,devops,vcs","True|true,False|false",,published
"Explain the CAP theorem and its tradeoffs",essay,hard,8,00000000-0000-4000-8000-000000000005,en,"Mention Brewer's conjecture","CAP: Consistency, Availability, Partition tolerance. You can only guarantee 2 of 3 in a distributed system. Most real systems sacrifice strict consistency (C) for AP or availability+partition (AP).",900,"distributed,cap,theory",,,published
"Name the primary key of users table",short_answer,easy,2,00000000-0000-4000-8000-000000000005,en,,"Primary key uniquely identifies each row. Convention: 'id' column.",30,"sql,database,primary-key",,"id,user_id,userId,uuid",published
"Implement factorial function",coding,easy,3,00000000-0000-4000-8000-000000000003,python,"Base case is 0! = 1","Compute n! recursively or iteratively. factorial(0)=1, factorial(5)=120.",300,"python,recursion,math",,,"||0||1||true||1,,||1||1||true||1,,||5||120||true||1,,||10||3628800||false||2",published
"What is Docker primarily used for?",multiple_choice,easy,1,00000000-0000-4000-8000-000000000006,en,,"Docker packages apps into containers for consistent deployment across environments.",15,"docker,devops,containers","Containerization|true,Virtualization|false,Compilation|false,Package management|false",,published
"Which are valid Git commands?",multiple_select,medium,3,00000000-0000-4000-8000-000000000006,en,,"git commit, git push, git pull, git fetch are valid. got is not.",120,"git,commands","git commit|true,got merge|false,git push|true,git pull|true,git fetch|true",,published
"Kubernetes is a container orchestration platform.",true_false,easy,1,00000000-0000-4000-8000-000000000006,en,,"K8s was originally developed by Google, now CNCF. Automates container deployment/scaling.",10,"kubernetes,devops,orchestration","True|true,False|false",,published
"Describe microservices architecture tradeoffs",essay,hard,8,00000000-0000-4000-8000-000000000004,en,"Compare with monolith","Pros: independent deploys, scaling, tech diversity. Cons: distributed complexity, network latency, data consistency, observability challenges, requires mature DevOps.",900,"microservices,architecture,patterns",,,draft
